workflow-aggregator                Pipeline                                        596.v8c21c963d92d
workflow-api                       Pipeline: API                                   1312.ve804c2f2d51e
workflow-basic-steps               Pipeline: Basic Steps                           1058.vcb_fc1e3a_21a_9
workflow-cps                       Pipeline: Groovy                                3894.3896.vca_2c931e7935
workflow-durable-task-step         Pipeline: Nodes and Processes                   1353.v1891a_b_01da_18
workflow-job                       Pipeline: Job                                   1426.v2ecb_a_a_42fd46
workflow-multibranch               Pipeline: Multibranch                           791.v28fb_f74dfca_e
workflow-scm-step                  Pipeline: SCM Step                              427.v4ca_6512e7df1
workflow-step-api                  Pipeline: Step API                              657.v03b_e8115821b_
workflow-support                   Pipeline: Supporting APIs                       907.v6713a_ed8a_573
ws-cleanup                         Workspace Cleanup Plugin                        0.46
